words,label
qualidade,0
expedição,1
envelhecimento,0
desempenho,0
formalmente,0
efetuar,0
requintar,0
batota,0
tavolagem,0
bom,0
estarrecer,0
favorável,0
decadência,1
semelhante,0
recolha,0
explicação,0
gravidez,0
erosão,0
antes,0
excentricidade,0
assombrar,0
inúmeras,1
adstrito,0
mácula,0
ferrenho,0
saída,0
impertinência,0
barulho,0
marujo,0
sistema,0
desistência,0
desavença,0
lhano,0
inconveniente,0
iniciante,0
máquina,0
devidamente,1
espontaneamente,0
ablação,0
parcelamento,0
adestração,0
anão,0
exercício,0
porco,0
diferença,0
arrematar,0
reproduzam,0
psicológico,0
venerando,0
derma,0
compartimento,0
simular,1
protuberante,1
augusto,0
imitação,0
repulsivo,0
delírio,0
excessivamente,1
analisar,0
comediantes,0
diferenciação,0
solenidade,0
infinitamente,1
propaganda,0
atraso,0
vigor,0
descansar,0
comparável,1
livramento,0
bandido,0
festa,0
atenção,0
voláteis,1
captando,1
meticulosamente,0
formação,0
tinha,0
proeminência,0
fabulosos,1
animado,0
parcela,0
espalhar,0
abalroação,0
litorâneo,0
incontinente,0
nevoenta,0
passo,0
espessidão,0
elevado,0
imagem,0
causar,0
assédio,0
falcatrua,0
pigmentação,0
inteligente,0
lesivo,0
reassumir,0
popularmente,1
anseios,1
liga,0
estrago,0
encerrar,0
asqueroso,1
recreio,0
dramático,0
enxerido,1
estoico,0
honorífico,0
obviamente,1
danificar,0
inteiro,0
corpo,0
altura,0
gênero,0
personagem,0
suportar,0
segregação,0
essência,1
repartir,0
nefasto,0
ousado,0
procedimentos,1
consentâneo,0
frágil,0
ritmado,0
modalidade,0
explicitamente,0
pestanejar,1
treinamento,1
espartano,0
imponentes,1
interação,1
senhoril,0
divícia,0
paradoxos,1
impressionante,0
tríplice,1
sumariar,0
devido,0
aprovar,0
explica,0
melhorada,0
detectam,0
mimetismo,0
informar,0
popularizar,0
proeminente,0
apetite,0
manifestamente,0
experimento,1
garota,0
pitéu,0
urdidura,0
rudemente,0
reaproximam,1
perfeiçoar,0
comunicação,0
banquete,0
checando,1
embrulho,0
desdobrado,0
inovação,0
diz,0
indícios,0
dignificar,0
ataviar,0
prendar,0
cópia,0
desumanamente,0
estertor,0
narrativa,0
pende,1
rebaixamento,0
ludíbrio,0
atormentou,1
abarrotar,0
equivalente,0
abrigadouro,0
despedaçar,0
cívico,0
fiadores,1
melindroso,0
indicação,0
eiva,0
experiência,0
brincar,0
correlato,0
desatenção,0
submersível,0
fervilhar,0
raia,1
ambicioso,0
tardio,1
suavizar,0
estirado,0
importância,0
indispensável,0
discutir,0
figura,0
correntemente,0
tranco,0
vazio,0
seriamente,0
falam,1
raro,0
emular,0
superar,0
harmonia,0
amarelinha,0
bixos,0
resistente,0
meteorito,1
expandindo,1
comedimento,0
farsa,0
cautela,0
degradação,0
presumivelmente,0
desgostoso,0
crença,0
sede,0
espiritual,0
admirável,0
esquema,0
inconformado,0
divina,0
suavizar,1
idiossincrasia,0
quebradura,0
indício,0
absolutamente,0
utensílio,0
sarar,0
usura,0
retém,1
lentamente,0
lambugem,0
rendimento,0
realmente,0
regra,0
culminância,0
respeitado,0
encantar,0
honrado,0
capta,1
impreterivelmente,0
achar,0
inveridicamente,0
clypeasteroida,0
desarmoniosamente,0
persuadir,0
fixação,0
montar,0
emocionante,0
testemunho,0
procedimento,0
uniformizar,0
contestações,1
processos,0
junção,1
desembaraçado,0
individual,0
função,0
melhorar,0
categoricamente,0
medida,0
autorizar,0
vacilar,0
aumentaria,0
maioria,0
dificultoso,0
reaparecer,0
seleção,0
concernir,0
cobro,0
gerir,0
perpetuar,0
inalcançável,0
hábil,0
acréscimo,0
façam,0
enternecedor,0
metido,0
versão,1
dique,0
solidez,0
positivar,0
suplemento,1
característico,0
arrepiante,0
borra,0
cadentes,1
agonia,0
dispensar,0
colhimento,0
emotivo,0
desaconchegado,0
cativar,0
muito,0
volúvel,0
similitude,0
ornar,0
cetro,0
espalhou,0
tirada,0
retratar,0
balear,0
epilético,1
ente,0
atenuar,0
radioso,0
comida,0
concedeu,1
exposição,0
rareados,0
desenfadamento,0
leve,0
colisão,1
ódio,0
ostentoso,0
imprevistamente,0
expandir,1
instantaneamente,1
curativo,0
reptar,0
atuação,1
engloba,1
maquinação,0
revelar,0
disputa,0
aparelhagem,0
sulco,0
repentino,0
história,0
brutalidade,0
aproximadamente,1
cepilhar,0
pé,0
inflexíveis,0
quebramento,0
cada,0
fazenda,0
saudável,0
entender,0
golpe,0
arrumar,0
controvérsia,0
adorar,0
assustador,0
homúnculo,0
salão,0
descuido,0
conveniência,0
apreender,0
contração,0
pensamento,0
navegadores,1
tratar,0
indicações,0
execrável,0
recolhimento,1
gulosina,0
festivamente,0
meramente,0
decisivamente,0
consumar,0
enfrentamento,0
apoiar,0
estouro,0
medicinais,1
trás,0
sensivelmente,0
anojoso,0
ascendência,0
ajudar,0
completamente,0
incompreensível,0
perfumada,0
fuga,0
adernar,0
agremiação,0
amortizar,0
estratégia,0
próprio,0
lindamente,1
habitual,0
singularidade,0
traquejo,0
limar,0
igualar,0
digestivas,1
mistura,0
maluco,0
informe,0
deteriorar,0
pândega,0
vorazmente,1
monarquia,0
cantar,0
inundado,0
explorar,0
bizarro,0
colisão,0
malvado,0
retrata,1
aos,0
especificamente,0
informes,0
iniciar,0
capaz,0
compensar,0
batucada,0
popularizar,1
lindar,0
forçosamente,0
trama,0
capitoso,0
recordar,0
personifica,1
global,0
burla,0
sagacidade,0
parada,0
favoritas,1
preservar,0
almofadar,0
dogmaticamente,0
adjeção,0
descomunal,1
agrupar,0
achatar,0
afetivo,0
virtude,0
imprescindível,0
vago,0
fornecer,0
feiticeiro,0
lançamento,0
apurar,0
índice,0
aleatória,1
contrabalançar,0
dupla,0
adorável,0
arrepiar,0
largada,0
erroneamente,0
vagarosamente,0
acrescentamento,0
em,0
ajustar,0
notadamente,0
investimento,1
disseminação,0
simplesmente,0
colusão,0
virtuais,1
congênere,0
designar,0
popularidade,1
ressaltado,0
objetivar,0
cobertura,0
burilar,0
amarrar,0
conceituar,0
duvidar,0
dilatar,0
além,0
razoavelmente,0
ferramenta,0
único,0
pontualmente,0
quebra,0
correligionário,0
audaciosa,1
zona,0
suntuoso,0
estruturar,0
adequado,0
stress,0
torniquete,1
tenção,0
sedução,0
absorver,0
concordância,0
polêmica,1
espargir,0
supressão,0
deixar,0
tolerar,0
endossa,1
precisa,0
possuir,0
mormente,0
ressequem,1
desbaratar,0
adventício,0
estimular,0
encorpadura,0
amostra,0
estranha,0
ansiedade,1
emanação,0
conjuntamente,0
honrosa,1
imutável,0
coleta,0
ardume,0
prestigioso,0
aprimorar,0
ingênita,0
animadamente,0
inquieto,0
potente,0
coléricos,0
intrínseco,0
detestável,0
levantar,0
possibilizar,0
enfurecido,0
aceitar,0
isocronicamente,0
in,0
rapidamente,0
consagrou,1
horrorizar,0
exclusividade,0
conspirata,0
adoçar,0
nojenta,1
dizemos,0
retocar,0
coletor,0
possibilita,1
entidade,0
inferir,0
suposto,0
desbarato,0
densidade,1
hiato,0
prover,0
contribuições,1
aumentar,0
sobreposto,0
encalharam,1
contrário,0
sanar,0
divulgação,0
arrebatador,0
tom,0
ensaio,0
proveito,0
vomitado,0
embate,1
extremamente,0
cesta,0
sorridente,0
declaração,0
organismos,0
rico,0
formalmente,1
falamos,1
apurar,1
aprimorar,1
remontar,1
coalizão,0
aventureiro,1
mexer,0
ereto,1
apêndice,0
natural,0
renúncia,0
estrondo,0
vantagem,0
conluio,0
indivíduo,0
progressivamente,1
inatas,1
ascoso,0
rígidas,1
sangrentas,1
fixação,1
emocional,1
argumenta,0
bruxaria,0
colaboração,0
inocente,0
entoando,1
eclosão,0
proferir,0
desespero,0
curvar,0
conversar,0
fingido,0
originalidade,0
incender,0
antiguidade,0
drope,0
brincadeira,0
guião,0
com,0
moderado,0
assustar,0
infalíveis,1
útil,0
fito,0
incidência,1
descaso,0
equilibrar,0
argumentos,0
particularmente,1
equatorial,1
abrandar,0
visualizar,1
populacional,1
parasitas,1
alucinação,1
símil,0
desleixo,0
barragem,0
ledo,0
ocasional,0
realçar,0
inapropriadamente,0
vistoso,0
manutenção,1
ferrolhar,0
amplificar,0
debalde,0
pausadamente,0
partidário,0
encarnar,0
fac,0
gêmeo,0
reter,1
marcante,1
medições,1
bravura,0
ancestrais,1
enquadrar,0
iguaria,0
perfeito,0
subsequente,0
zina,0
reedição,1
pronunciar,0
desacertadamente,0
queima,1
conferência,0
receita,0
túrgido,0
entravam,1
palestra,0
confiável,1
vagarosamente,1
gerar,0
jeitoso,0
posses,0
melancólica,1
inabalável,0
embelezar,1
consequentemente,0
moderadamente,0
também,0
sisudez,0
ruir,0
agrado,0
esfolavam,1
epiléptico,0
hesitar,0
talvez,0
capacitação,0
modificação,0
cuidar,0
já,0
recrutar,0
depressa,0
maquinar,0
radioativa,1
corriqueiro,0
partilhar,0
fixar,0
fé,0
hipóstase,0
demasiadamente,0
inflexibilidade,0
posposto,0
comum,0
quadro,0
enjoativo,0
aprazer,0
derrame,0
textual,0
imensidade,0
qualificado,0
fluxo,0
risonho,0
decoroso,0
fermentescente,0
possível,0
abruptamente,0
acolher,0
radicalmente,1
forma,0
efetividade,0
retratar,1
arder,0
petrificar,0
honesto,0
contrariado,0
inicialmente,1
frente,0
auditoria,0
câmara,1
anímico,0
preparar,0
perto,0
fio,0
combustão,0
capacitado,0
conjectura,0
altamente,0
cruenta,0
prestes,1
indagar,0
digestor,0
pertinente,0
integralizar,0
florescer,0
promoter,0
colorido,0
genérico,1
remexer,0
sedentária,1
aperceber,0
incremento,0
empolgante,0
condenação,0
estear,0
relacionamento,0
sonar,0
atrativo,0
guarda,0
indefesa,0
pesaroso,0
complemento,0
dissipação,1
aguilhoar,0
conteúdo,0
copiar,0
demanda,1
deixado,0
acme,0
etiqueta,0
atrevido,0
virada,1
preeminente,0
secessão,0
amaciam,1
ingressar,0
mimo,0
apoiante,0
afago,0
cheirosa,0
áspera,0
inteiriçado,0
incontáveis,1
contratar,0
sisudamente,0
infrequente,0
incomodar,0
movimentação,0
plenitude,0
carência,0
particularmente,0
incongruência,0
diligência,0
supremacia,1
grassar,0
resumido,0
presar,0
contingente,0
acidentalmente,0
variante,0
evidenciar,0
zoologista,0
superioridade,0
atrair,0
pertinentes,1
acrescentar,0
começo,0
gordo,0
estragar,0
monumental,1
comandar,0
disseminar,0
modernizar,0
livre,0
carinhosamente,1
contínua,0
maior,0
prostituta,0
baixo,0
propositadamente,0
sorte,0
regulagem,1
responsabilidade,0
ficou,0
recognição,0
completar,0
submarino,0
coordenou,1
eversão,0
bruscas,1
brindar,0
formosura,0
mudança,0
oratória,1
inflamado,0
tratantice,0
encrencar,0
acender,0
estapafúrdico,0
fezes,0
recobre,1
firme,0
consumpção,0
imensamente,0
sobretudo,0
esbarrar,0
interessante,0
higiene,0
acertado,0
ardência,0
rastro,0
austero,0
aventuroso,0
suporte,0
convívio,0
reconstruir,0
desprotegido,0
desproteção,0
preleção,0
gravuras,1
piadistas,1
moderação,1
temerário,0
inadequadamente,0
planejar,0
aditamento,0
narrar,0
sarapantar,0
denomina,0
são,0
enxurrada,0
via,0
rendição,0
jeito,0
duvidosamente,0
admirável,1
reverter,1
espantoso,0
primeiramente,1
separação,1
inconsciente,0
herdade,0
oposição,0
complementar,1
prostração,0
usar,0
papo,0
parado,0
retenção,0
abordar,1
desolação,0
redigiram,0
ruptura,0
choques,0
consagrado,0
exagerado,0
seção,0
fóruns,1
apodrecimento,0
fundem,1
percebem,0
previsão,0
dileto,0
prenúncio,0
involuir,0
intrigou,1
aprofundam,1
faixa,0
falar,0
operativo,0
incomuns,0
prevalecente,0
salvos,1
comumente,1
preferidos,0
expandiram,1
adicionar,0
associação,0
demissão,0
máximo,0
ápice,0
instilam,0
sobejidão,0
transmitir,0
primeiro,0
nem,0
exalação,0
pesadamente,0
incentivar,0
conjuro,0
monitores,0
estrangeiro,0
habituou,0
radiante,1
falha,0
atacar,0
truque,0
ameno,0
interrogação,0
luta,0
depauperamento,0
excesso,0
pestanear,0
complementa,1
doído,0
divergir,0
estrutura,0
robusta,1
eficaz,1
ácido,0
costumeiro,0
compadrio,0
compilação,1
arremessamento,0
mercadoria,0
porventura,0
contato,0
protegido,0
auto,0
indicativos,0
astral,0
equinocial,0
dolo,0
revolução,0
estrambólico,0
engenhoso,0
fabrico,0
assarapantar,0
divulgar,0
comemorar,0
atar,0
colheita,0
parar,0
ira,0
inolvidável,0
mutável,0
escoamento,0
ligação,0
fluência,0
precauções,1
adicionalmente,0
método,0
brabeza,0
mentalmente,1
façanha,0
diálogo,0
pistas,0
evocar,0
fez,0
prepóstero,0
sexologista,0
ânsia,0
predomínio,0
compartimentação,0
previdentemente,0
dadivar,0
inativo,0
reforço,0
lapidar,0
intacto,0
poder,0
zoológico,0
consome,0
suspender,0
decisão,0
conduzir,0
coletânea,0
imponente,1
sonho,0
jazigo,1
indisposição,0
movimento,0
armazenamento,0
suaviza,1
adição,0
vez,0
avançar,0
mundial,0
ajudado,0
farto,0
pronunciado,0
louco,0
coligir,0
titubear,0
socorro,0
editoras,1
inópia,0
resquício,1
abrigada,0
continuado,0
dirigir,0
enfraquece,0
padronizar,0
enfatizar,0
trás,1
machucho,0
novidade,0
fracionamento,0
sustentável,0
decompor,0
equivocadamente,0
internação,1
notabilizar,0
atrito,1
reconhecer,0
auge,1
captura,1
extravagante,0
insinuar,0
comemoração,0
ornamentar,0
suportável,1
apanhar,0
maléfico,0
atear,0
genuinamente,0
mandinga,0
diminuir,0
detrás,0
pigmeus,1
lance,1
primeiramente,0
alforria,0
imóvel,0
simulem,1
prontamente,1
primitivamente,0
alegre,0
suxo,0
sonhar,0
impensadamente,0
eliminar,0
peculiar,1
arqueamento,0
giro,1
lecionação,0
agrupado,0
requer,1
promotores,1
resolver,0
captaram,1
desenvolvido,0
armação,0
duplicado,0
recomendação,1
poderoso,0
tranqüilamente,0
descomposição,0
menear,0
atraentes,1
seguido,0
amolgar,0
doença,0
ganhar,0
utilidade,0
nubilosa,0
portar,1
paradigma,0
aproveitar,0
impelir,0
indignação,1
começar,0
arriscar,0
brusco,1
incompatibilidade,0
inevitavelmente,0
perceber,0
pouquidade,0
conchavo,0
conceder,0
divulgação,1
caudatário,0
colérico,0
disparo,1
instintiva,0
apanha,0
comiam,0
pronunciamento,0
ressacas,1
intencionado,0
favorita,1
expande,0
querida,0
duo,0
demanda,0
simples,0
asseverar,0
esclarecer,0
improvavelmente,0
circuito,0
marca,0
melhorias,0
musculoso,0
navegantes,0
fazer,0
outono,0
preventivos,1
sectarismo,0
remesso,0
dificuldade,0
audacioso,1
desenfado,0
incômodo,0
governar,0
laivo,0
volante,1
descomedidamente,0
justiça,0
chegada,0
circunstância,0
profundezas,1
curso,0
intento,0
conhecedor,0
resenha,0
cenário,0
psicológicos,0
difusão,0
valor,0
apropriadamente,0
assemelhar,0
executar,0
aferrar,0
tumba,0
conjuração,0
upgrade,0
oferecer,0
canastra,0
aquecidos,1
atrás,0
contam,0
evidências,1
inelutável,0
ambição,0
aumentaram,0
brandamente,0
cor,0
cultivo,1
matricular,0
azedo,0
monopólio,0
análogo,0
registrador,0
graduações,1
progredir,0
raramente,0
recorre,1
engalanar,0
brusca,1
colóquio,0
inquérito,0
ato,0
loucamente,1
definir,0
grossura,0
argumentação,0
manso,0
transcorrer,0
conveniente,0
informação,0
escassa,1
infeliz,0
galezia,0
emissão,1
favorecer,0
apartação,0
evolução,0
sincero,0
apreciador,0
sequência,0
doutrinas,0
exaltar,1
paralisado,0
disjunção,0
emblemar,0
tardar,0
retratam,1
capturaram,0
cova,0
carismático,0
nascimento,0
povoado,0
fúlgido,0
intransigente,0
faculdade,0
acreditar,0
aguentar,0
avanço,1
notar,0
inaudito,0
vigorosamente,0
unidade,0
remoto,0
professorar,0
ejeção,0
vômito,1
retirada,0
depósito,0
descida,0
oscilação,0
cartéis,1
criar,0
contentemente,0
conspiração,1
escopo,0
temeroso,0
acometível,0
mimosear,0
mole,0
gasto,0
fascinar,0
apagar,0
nojento,0
aminguamento,0
congregação,0
ocioso,0
inconveniência,0
nivelar,0
destroço,0
brigar,0
reflexo,0
gestação,1
comovedor,0
goma,0
réus,0
renome,0
deslumbrar,0
interromper,0
agarrado,0
realizou,0
automaticamente,0
finalidade,0
bizarro,1
repartição,0
sociedade,0
balizar,0
igualou,1
instigar,0
ampliação,0
carneiro,0
reduzir,0
desconfortante,0
sempre,0
demonstrar,0
traço,0
coleta,1
rutilante,0
gigante,0
aborda,1
itinerante,0
concertar,0
putrefação,0
básico,0
acervo,0
atrofiando,0
dádiva,1
plenário,0
fuxiqueiro,0
despargir,0
líder,0
fulgente,0
historiadores,1
comparar,0
enevoada,0
aproximação,0
fnanciadores,0
cavidade,0
manear,0
imposto,0
coincidentemente,0
atributo,0
amorosamente,0
permitir,0
aperfeiçoar,1
demonstração,0
malparar,0
pesquisar,0
saliente,0
nojoso,0
desprezível,0
percussão,0
registrar,0
meios,0
supostamente,0
rejeitado,0
afunda,1
paleontologista,0
dureza,0
conata,0
preferido,0
corpulência,0
manobra,0
esporádico,0
talhado,0
aerólito,0
organização,0
fundação,0
uma,0
infinito,0
prevalente,0
homogêneo,0
constrangimento,1
fluidez,0
unido,0
alusão,0
exóticos,1
segurar,0
abafado,0
organizar,0
caixa,0
apresar,0
enaltecer,0
trivialmente,0
densidade,0
retêm,0
consistência,0
magnificente,0
separação,0
surpreendentes,1
reviver,0
amalgamação,0
agasalhado,0
dispersão,0
voluntariamente,0
completa,0
descer,0
chateado,0
mudar,0
selecionar,0
origem,0
conventrículo,0
sensacional,0
relevar,0
festim,0
estendidos,1
menos,0
fervor,0
apelidar,0
textualmente,0
conter,0
cercania,0
conduta,0
esbanjamento,0
consistência,1
captadores,0
diminuídos,0
eficiente,0
semelhantes,0
vital,1
fenomenal,0
projeções,1
elemento,0
entrecho,0
enjaular,0
haveres,0
dissaboroso,0
engolir,0
reinado,1
longe,0
cadenciado,0
concebeu,0
bilhete,0
duplicata,0
adequada,0
arrazoar,0
resignação,0
duro,0
ligame,0
esplendor,0
curioso,0
conjugação,0
tarimba,0
apresentações,0
tiro,0
desmembração,0
ostensivo,0
somente,0
coletaram,1
socorrido,0
acervo,1
automobilista,0
busca,0
deprotegido,0
celebração,1
repulsa,0
calmamente,1
excessivo,0
cesto,1
encorpamento,0
erupção,0
subaquática,0
relatar,0
hipotético,0
antigo,0
enunciação,0
sêmen,1
não,0
carnudo,0
revolucionário,0
circunscrever,0
amanho,0
manejar,0
divertir,0
anatomia,1
coincidir,0
significar,0
convenientemente,0
requer,0
avanço,0
terapêutico,0
rolar,0
demais,0
aderente,0
construir,0
vigoroso,0
sobra,1
acerto,0
combater,0
entrava,1
golfo,0
pactuar,0
envolvente,0
concomitantemente,0
consequente,0
avistaram,1
sensatamente,0
exprimir,0
papadas,1
instituto,0
prerrogativa,0
fiel,0
inflexível,0
durável,0
ser,0
visitação,1
nauseante,0
pomposo,1
positivo,0
viciava,1
necessidade,0
porfia,0
imensurável,0
fascínio,0
cosmo,0
monumental,0
sucessivamente,0
adestramento,0
consubstanciar,0
diversidade,1
fraco,0
enxergar,0
elevadíssimo,0
abrupto,0
fidedigno,0
abreviar,0
garantir,0
seguro,0
deficiência,0
reproduzem,0
eliminação,0
amolecer,0
socorrer,0
reclusão,0
reflexões,0
destruível,0
aplicado,0
involuntariamente,0
queda,0
aprestamento,0
lamber,0
unanimidade,0
rachar,0
corretamente,0
variedade,0
lutuoso,0
quase,0
devoção,0
abundantemente,0
perigoso,0
afogado,0
agregação,0
estrambótico,0
aproximam,0
perícia,1
subitâneo,0
elaborar,0
primordialmente,0
conformidade,0
evidentemente,0
abundoso,0
anteriormente,0
muitíssimo,0
circuito,1
desenvolvimento,0
incineração,0
estrebuchar,0
encarar,0
acurar,0
vultoso,0
comedidamente,0
perenemente,0
raias,1
mirífico,0
enjaulamento,0
treino,0
formalidade,0
programa,0
providências,0
injustamente,0
falta,0
terreno,0
combate,0
coloração,1
receptores,1
performance,0
conciliábulo,0
repelente,0
cerimônia,0
natureza,0
nitidez,0
malefício,0
abusivo,0
suficiência,0
doutrina,0
nervosismo,0
tolerável,0
evidências,0
magia,0
vestígios,0
enfeitar,0
libertado,0
copioso,0
especulações,1
barbaramente,0
eloquência,0
abastadamente,0
